Name,Plaque name,Included
William Shakespeare,,TRUE
Johann Wolfgang von Goethe,,TRUE
Ralph Waldo Emerson,,TRUE
"Arthur Balfour, Earl of Balfour",Arthur Balfour,TRUE
Saint Francis of Assisi,,TRUE
George Washington,,TRUE
Samuel Johnson,,TRUE
G. K. Chesterton,,TRUE
Conor McPherson,,TRUE
Geoffrey Chaucer,,TRUE
Lord Byron,,TRUE
C. S. Lewis,,TRUE
Miriam Margolyes,,TRUE
Mark Twain,,TRUE
Milan Kundera,,TRUE
J. L. Carr,,TRUE
Alexander Pope,,TRUE
Archimedes,,TRUE
David Senra,,TRUE
bible,,TRUE
Friedrich Nietzsche,,TRUE
William Faulkner,,TRUE
Christopher Hitchens,,TRUE
John Adams,,TRUE
Immanuel Kant,,TRUE
Virgil,,TRUE
David Brooks,,TRUE
Augustus,,TRUE
Heraclitus,,TRUE
Winston Churchill,,TRUE
John Milton,,TRUE
George Bernard Shaw,,TRUE
Lao Tzu,,TRUE
André Gide,,TRUE
Thomas Babington Macaulay,,TRUE
Lady Lytton,,TRUE
W. H. Auden,,TRUE
Socrates,,TRUE
Nelson Mandela,,TRUE
Charlotte Aïssé,,TRUE
Evelyn Waugh,,TRUE
Ambrose Bierce,,TRUE
Henry II of England,,TRUE
Saint Augustine,,TRUE
Edward Bulwer-Lytton,,TRUE
Thomas Henry Huxley,,TRUE
Juvenal,,TRUE
James Russell Lowell,,TRUE
Arthur Schopenhauer,,TRUE
Harry Goodhart-Rendel,,TRUE
Abraham Maslow,,TRUE
Michel Foucault,,TRUE
Boris Yeltsin,,TRUE
Henry David Thoreau,,TRUE
J. Edgar Hoover,,TRUE
Walter Benjamin,,TRUE
Henry Wadsworth Longfellow,,TRUE
Kwame Nkrumah,,TRUE
Max Planck,,TRUE
David Paul Kuhn,,TRUE
Albert Camus,,TRUE
