Author ID,Name,Plaque name,Included
william-shakespeare,William Shakespeare,,TRUE
johann-wolfgang-von-goethe,Johann Wolfgang von Goethe,,TRUE
ralph-waldo-emerson,Ralph Waldo Emerson,,TRUE
arthur-balfour-earl-of-balfour,"Arthur Balfour, Earl of Balfour",Arthur Balfour,TRUE
saint-francis-of-assisi,Saint Francis of Assisi,,TRUE
george-washington,George Washington,,TRUE
samuel-johnson,Samuel Johnson,,TRUE
g-k-chesterton,G. K. Chesterton,,TRUE
conor-mcpherson,Conor McPherson,,TRUE
geoffrey-chaucer,Geoffrey Chaucer,,TRUE
lord-byron,Lord Byron,,TRUE
c-s-lewis,C. S. Lewis,,TRUE
miriam-margolyes,Miriam Margolyes,,TRUE
mark-twain,Mark Twain,,TRUE
milan-kundera,Milan Kundera,,TRUE
j-l-carr,J. L. Carr,,TRUE
alexander-pope,Alexander Pope,,TRUE
archimedes,Archimedes,,TRUE
david-senra,David Senra,,TRUE
bible,bible,,TRUE
friedrich-nietzsche,Friedrich Nietzsche,,TRUE
william-faulkner,William Faulkner,,TRUE
christopher-hitchens,Christopher Hitchens,,TRUE
john-adams,John Adams,,TRUE
immanuel-kant,Immanuel Kant,,TRUE
virgil,Virgil,,TRUE
david-brooks,David Brooks,,TRUE
augustus,Augustus,,TRUE
heraclitus,Heraclitus,,TRUE
winston-churchill,Winston Churchill,,TRUE
john-milton,John Milton,,TRUE
george-bernard-shaw,George Bernard Shaw,,TRUE
lao-tzu,Lao Tzu,,TRUE
andre-gide,André Gide,,TRUE
thomas-babington-macaulay,Thomas Babington Macaulay,,TRUE
lady-lytton,Lady Lytton,,TRUE
w-h-auden,W. H. Auden,,TRUE
socrates,Socrates,,TRUE
nelson-mandela,Nelson Mandela,,TRUE
charlotte-aisse,Charlotte Aïssé,,TRUE
evelyn-waugh,Evelyn Waugh,,TRUE
ambrose-bierce,Ambrose Bierce,,TRUE
henry-ii-of-england,Henry II of England,,TRUE
saint-augustine,Saint Augustine,,TRUE
edward-bulwer-lytton,Edward Bulwer-Lytton,,TRUE
thomas-henry-huxley,Thomas Henry Huxley,,TRUE
juvenal,Juvenal,,TRUE
james-russell-lowell,James Russell Lowell,,TRUE
arthur-schopenhauer,Arthur Schopenhauer,,TRUE
harry-goodhart-rendel,Harry Goodhart-Rendel,,TRUE
abraham-maslow,Abraham Maslow,,TRUE
michel-foucault,Michel Foucault,,TRUE
boris-yeltsin,Boris Yeltsin,,TRUE
henry-david-thoreau,Henry David Thoreau,,TRUE
j-edgar-hoover,J. Edgar Hoover,,TRUE
walter-benjamin,Walter Benjamin,,TRUE
henry-wadsworth-longfellow,Henry Wadsworth Longfellow,,TRUE
kwame-nkrumah,Kwame Nkrumah,,TRUE
max-planck,Max Planck,,TRUE
david-paul-kuhn,David Paul Kuhn,,TRUE
albert-camus,Albert Camus,,TRUE
