Author,Author ID (auto),Quotation
William Shakespeare (william-shakespeare),william-shakespeare,"Why then the world’s mine oyster, which I with sword will open."
William Shakespeare (william-shakespeare),william-shakespeare,"Those friends thou hast, and their adoption tried,
Grapple them to thy soul with hoops of steel;
But do not dull thy palm with entertainment
Of each new-hatch'd, unfledg'd comrade."
William Shakespeare (william-shakespeare),william-shakespeare,The evil that men do lives after them; the good is oft interred with their bones
William Shakespeare (william-shakespeare),william-shakespeare,"There are more things in heaven and earth, Horatio,
Than are dreamt of in your philosophy."
Johann Wolfgang von Goethe (johann-wolfgang-von-goethe),johann-wolfgang-von-goethe,"A good parent gives a child but two things; the one is roots, the other, wings."
Ralph Waldo Emerson (ralph-waldo-emerson),ralph-waldo-emerson,"In the minds of geniuses, we find – once more - our own neglected thoughts."
"Arthur Balfour, Earl of Balfour (arthur-balfour-earl-of-balfour)",arthur-balfour-earl-of-balfour,"Nothing matters very much, and few things matter at all"
Saint Francis of Assisi (saint-francis-of-assisi),saint-francis-of-assisi,"He who works with his hands is a laborer.
He who works with his hands and his head is a craftsman.
He who works with his hands and his head and his heart is an artist."
Saint Francis of Assisi (saint-francis-of-assisi),saint-francis-of-assisi,The measure of love is to love without measure.
George Washington (george-washington),george-washington,"In the composition of the human frame there is a good deal of inflammable matter, however dormant it may lie for a time, and like an intimate acquaintance of yours, when the torch is put to it, that which is within you may burst into a blaze"
Samuel Johnson (samuel-johnson),samuel-johnson,"Is not a patron, my lord, one who looks with unconcern on a man struggling for life in the water, and when he has reached ground, encumbers him with help?"
Samuel Johnson (samuel-johnson),samuel-johnson,"How small, of all that human hearts endure,
That part which laws or kings can cause or cure."
G. K. Chesterton (g-k-chesterton),g-k-chesterton,Humour can get in under the door while seriousness is still fumbling at the handle.
G. K. Chesterton (g-k-chesterton),g-k-chesterton,Angels can fly because they take themselves lightly
Conor McPherson (conor-mcpherson),conor-mcpherson,Til tell you — there’s not one morning I don't wake up with her name in the room.
Geoffrey Chaucer (geoffrey-chaucer),geoffrey-chaucer,He who sups with the devil should have a long spoon
Lord Byron (lord-byron),lord-byron,"Sweet is a legacy, and passing sweet
The unexpected death of some old lady"
C. S. Lewis (c-s-lewis),c-s-lewis,"The torture allotted to the Danaids in the classical underworld, that of attempting to fill sieves with water, is the symbol not of one vice, but of all vices. It is the very mark of a perverse desire that it seeks what is not to be had."
Miriam Margolyes (miriam-margolyes),miriam-margolyes,"It is the vulnerabilities in people, rather than the strengths, that allow us to love them."
Mark Twain (mark-twain),mark-twain,Clothes make the man. Naked people have little or no influence on society.
Milan Kundera (milan-kundera),milan-kundera,"Man proceeds in the fog. But when he looks back to judge people of the past, he sees no fog on their path. From his present, which was their faraway future, their path looks perfectly clear to him, good visibility all the way. Looking back, he sees the path, he sees the people proceeding, he sees their mistakes, but not the fog."
J. L. Carr (j-l-carr),j-l-carr,We can ask and ask but we can't have again what once seemed ours forever
Alexander Pope (alexander-pope),alexander-pope,Who breaks a butterfly upon a wheel?
Alexander Pope (alexander-pope),alexander-pope,"What oft was thought, but ne'er so well express'd"
Archimedes (archimedes),archimedes,"Give me a place to stand, and a lever long enough, and I will move the world."
David Senra (david-senra),david-senra,"Whatever it is that you were given, I will get for myself."
bible (bible),bible,"He who has an ear, let him hear what the Spirit says to the churches: He who overcomes will not be hurt by the second death."
bible (bible),bible,"For his anger endureth but a moment; in his favour is life: weeping may endure for a night, but joy cometh in the morning."
bible (bible),bible,"And I looked, and beheld a pale horse: and his name that sat on him was Death, and Hell followed with him. And power was given unto them over the fourth part of the earth, to kill with sword, and with hunger, and with death, and with the beasts of the earth."
bible (bible),bible,"For as the crackling of thorns under a pot, so is the laughter of fools."
bible (bible),bible,"For what shall it profit a man, if he gain the whole world, and suffer the loss of his soul"
bible (bible),bible,"So he sent for a bowl of water and washed his hands before the crowd, saying, ""I am innocent of this man's blood. The responsibility is yours!"""
Friedrich Nietzsche (friedrich-nietzsche),friedrich-nietzsche,"Blame not the bird of prey for eating the lamb, for that is what it does."
William Faulkner (william-faulkner),william-faulkner,You cannot swim for new horizons until you find the courage to lose sight of the shore.
Christopher Hitchens (christopher-hitchens),christopher-hitchens,"When asked what he most disliked about his appearance, Christopher Hitchens responded, the way it makes former admirers search for neutral words."
John Adams (john-adams),john-adams,"I study politics and war, that my sons may have the liberty to study mathematics, commerce and agriculture. And my sons must study mathematics, commerce and agriculture, that their sons may have the freedom to study painting, poetry, music and architecture."
Immanuel Kant (immanuel-kant),immanuel-kant,"Out of the crooked timber of humanity, no straight thing was ever made"
Virgil (virgil),virgil,Sic itur ad astra
Virgil (virgil),virgil,Per aspera ad astra
David Brooks (david-brooks),david-brooks,What writers do is they tell other beggars where they found bread.
David Brooks (david-brooks),david-brooks,"A man stands at the edge of a river and calls out to another man on the opposite bank, ""How do I get to the other side of the river?"" The man across the water replies, ""You are already on the other side."""
David Brooks (david-brooks),david-brooks,"We don’t see with our eyes, we see with our whole life."
Augustus (augustus),augustus,"If I’ve played my part well, dismiss me from the stage with applause."
Heraclitus (heraclitus),heraclitus,No man steps in the same river twice.
Winston Churchill (winston-churchill),winston-churchill,"Little men let events take their course. I like things to happen, and if they don’t happen I like to make them happen."
Winston Churchill (winston-churchill),winston-churchill,Don’t adapt your facts to your phrases.
John Milton (john-milton),john-milton,"The mind is its own place, and in itself can make a heaven of hell, a hell of heaven."
George Bernard Shaw (george-bernard-shaw),george-bernard-shaw,Liberty means responsibility. That is why most men dread it.
Lao Tzu (lao-tzu),lao-tzu,"Watch your thoughts, they become your words; watch your words, they become your actions; watch your actions, they become your habits; watch your habits, they become your character; watch your character, it becomes your destiny."
André Gide (andre-gide),andre-gide,"Trust those who seek the truth, but doubt those who say they’ve found it"
Thomas Babington Macaulay (thomas-babington-macaulay),thomas-babington-macaulay,We know no spectacle so ridiculous as the British public in one of its periodical fits of morality.
Lady Lytton (lady-lytton),lady-lytton,"The first time you meet Winston [Churchill] you see all his faults, and the rest of your life you spend in discovering his virtues."
W. H. Auden (w-h-auden),w-h-auden,Private faces in public places are wiser and nicer than public faces in private places.
Socrates (socrates),socrates,It is a disgrace to grow old through sheer carelessness before seeing what manner of man you may become by developing your bodily strength and beauty to their highest limit.
Nelson Mandela (nelson-mandela),nelson-mandela,It is wrong. I have seen it. What are you going to do about it?
Charlotte Aïssé (charlotte-aisse),charlotte-aisse,No man is a hero to his valet.
Evelyn Waugh (evelyn-waugh),evelyn-waugh,"I went there uncertainly, for it was foreign ground and there was a tiny, priggish, warning voice in my ear which in the tones of Collins told me it was seemly to hold back. But I was in search of love in those days, and I went full of curiosity and the faint, unrecognized apprehension that here, at last, I should find that low door in the wall, which others, I knew had found before me, which opened on an enclosed and enchanted garden, which was somewhere, not overlooked by any window, in the heart of that grey city."
Evelyn Waugh (evelyn-waugh),evelyn-waugh,"Other nations use force, we Britons alone use might"
Ambrose Bierce (ambrose-bierce),ambrose-bierce,War is God's way of teaching Americans geography.
Henry II of England (henry-ii-of-england),henry-ii-of-england,Will no one rid me of this turbulent priest?
Saint Augustine (saint-augustine),saint-augustine,"O Lord, help me to be pure, but not yet."
Edward Bulwer-Lytton (edward-bulwer-lytton),edward-bulwer-lytton,Talent does what it can; genius does what it must.
Thomas Henry Huxley (thomas-henry-huxley),thomas-henry-huxley,"Perhaps the most valuable result of all education is the ability to make yourself do the thing you have to do, when it ought to be done, whether you like it or not; it is the first lesson that ought to be learned; and however early a man's training begins, it is probably the last lesson that he learns thoroughly."
Juvenal (juvenal),juvenal,Who will watch the watchmen
James Russell Lowell (james-russell-lowell),james-russell-lowell,Time makes ancient good uncouth
Arthur Schopenhauer (arthur-schopenhauer),arthur-schopenhauer,"A man can do what he will, but not will as he will"
Harry Goodhart-Rendel (harry-goodhart-rendel),harry-goodhart-rendel,"The modern architectural drawing is interesting, the photograph is magnificent, the building is an unfortunate but necessary stage between the two"
Abraham Maslow (abraham-maslow),abraham-maslow,"I suppose it is tempting, if the only tool you had is a hammer, to treat everything as if it were a nail"
Michel Foucault (michel-foucault),michel-foucault,"Whoever determines what may be discussed, determines what may be known."
Boris Yeltsin (boris-yeltsin),boris-yeltsin,"You can build a throne with bayonets, but you can't sit on it for long"
